,Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
0,"2009-10-01 - Capitals 4, Bruins 1",Boston Bruins,Limited ReportFull Report,47.066666666667004,35.02,46.9,42.74,26.43,30.91,46.1,16.8,24.21,40.97,0.92,2.16,29.81,0.95,1.43,39.90,15.39,16.47,48.31,4.34,3.47,55.58,4.35,3.48,55.53,0.91,1.09,45.39,20.87,68.64,10.96,13.05,45.64,5.76,9.56,37.59,0.0,1.04,0.00,0.00,89.13,14.25,20.1,41.48,4.67,8.83,34.57,0.0,0.0,-,0.00,100.00,5.46,91.08,0.965,17565
1,"2009-10-01 - Capitals 4, Bruins 1",Washington Capitals,Limited ReportFull Report,47.066666666667004,46.9,35.02,57.26,30.91,26.43,53.9,24.21,16.8,59.03,2.16,0.92,70.19,1.43,0.95,60.10,16.47,15.39,51.69,3.47,4.34,44.42,3.48,4.35,44.47,1.09,0.91,54.61,31.36,79.13,13.05,10.96,54.36,9.56,5.76,62.41,1.04,0.0,100.00,10.87,100.00,20.1,14.25,58.52,8.83,4.67,65.43,0.0,0.0,-,0.00,100.00,8.92,94.54,1.035,17565
2,"2009-10-01 - Canadiens 4, Maple Leafs 3",Montreal Canadiens,Limited ReportFull Report,49.1,44.16,65.92,40.12,32.96,47.3,41.07,19.47,32.07,37.78,1.06,0.92,53.35,1.88,2.54,42.45,20.98,31.23,40.18,7.56,9.35,44.71,5.27,8.51,38.23,1.06,0.0,100.00,20.09,100.00,13.36,21.93,37.85,3.09,6.76,31.35,0.0,0.96,0.00,0.00,85.78,21.32,31.5,40.36,11.06,15.87,41.07,0.0,0.0,-,0.00,100.00,5.43,97.12,1.025,19617
3,"2009-10-01 - Canadiens 4, Maple Leafs 3",Toronto Maple Leafs,Limited ReportFull Report,49.1,65.92,44.16,59.88,47.3,32.96,58.93,32.07,19.47,62.22,0.92,1.06,46.65,2.54,1.88,57.55,31.23,20.98,59.82,9.35,7.56,55.29,8.51,5.27,61.77,0.0,1.06,0.00,0.00,79.91,21.93,13.36,62.15,6.76,3.09,68.65,0.96,0.0,100.00,14.22,100.00,31.5,21.32,59.64,15.87,11.06,58.93,0.0,0.0,-,0.00,100.00,2.88,94.57,0.975,19617
4,"2009-10-01 - Sharks 2, Avalanche 5",Colorado Avalanche,Limited ReportFull Report,42.9,24.31,45.79,34.68,19.84,36.45,35.25,14.53,24.57,37.17,3.86,1.01,79.26,1.07,2.13,33.42,13.13,22.35,37.01,7.93,10.94,42.02,5.97,5.04,54.20,3.86,0.0,100.00,64.73,100.00,5.22,11.29,31.61,4.09,7.77,34.49,0.0,1.06,0.00,0.00,86.38,9.8,22.29,30.54,3.39,10.61,24.23,0.0,0.0,-,0.00,100.00,26.59,95.88,1.225,18007
5,"2009-10-01 - Sharks 2, Avalanche 5",San Jose Sharks,Limited ReportFull Report,42.9,45.79,24.31,65.32,36.45,19.84,64.75,24.57,14.53,62.83,1.01,3.86,20.74,2.13,1.07,66.58,22.35,13.13,62.99,10.94,7.93,57.98,5.04,5.97,45.80,0.0,3.86,0.00,0.00,35.27,11.29,5.22,68.39,7.77,4.09,65.51,1.06,0.0,100.00,13.62,100.00,22.29,9.8,69.46,10.61,3.39,75.77,0.0,0.0,-,0.00,100.00,4.12,73.41,0.775,18007
6,"2009-10-01 - Canucks 3, Flames 5",Calgary Flames,Limited ReportFull Report,44.333333333332995,45.2,53.41,45.84,31.62,43.19,42.27,19.89,32.94,37.65,1.97,1.01,66.03,1.79,2.41,42.72,20.55,22.29,47.98,10.11,10.84,48.26,4.1,6.81,37.58,0.96,1.04,48.22,23.51,84.80,10.52,11.33,48.16,5.99,5.89,50.38,0.98,0.0,100.00,16.32,100.00,20.71,27.27,43.16,9.86,16.94,36.79,0.0,0.0,-,0.00,100.00,9.91,96.92,1.068,19289
7,"2009-10-01 - Canucks 3, Flames 5",Vancouver Canucks,Limited ReportFull Report,44.333333333332995,53.41,45.2,54.16,43.19,31.62,57.73,32.94,19.89,62.35,1.01,1.97,33.97,2.41,1.79,57.28,22.29,20.55,52.02,10.84,10.11,51.74,6.81,4.1,62.42,1.04,0.96,51.78,15.20,76.49,11.33,10.52,51.84,5.89,5.99,49.62,0.0,0.98,0.00,0.00,83.68,27.27,20.71,56.84,16.94,9.86,63.21,0.0,0.0,-,0.00,100.00,3.08,90.09,0.932,19289
8,"2009-10-02 - Flyers 2, Hurricanes 0",Carolina Hurricanes,Limited ReportFull Report,35.5,27.26,35.41,43.5,23.15,29.48,43.98,15.38,19.36,44.26,0.0,0.0,-,1.28,1.69,43.17,13.39,14.27,48.41,5.22,3.33,61.05,2.6,2.19,54.37,0.0,0.0,-,0.00,100.00,8.1,11.05,42.29,4.72,8.5,35.69,0.0,0.0,-,0.00,100.00,11.43,19.82,36.57,7.91,8.66,47.74,0.0,0.0,-,0.00,100.00,0.0,100.0,1.0,18680
9,"2009-10-02 - Flyers 2, Hurricanes 0",Philadelphia Flyers,Limited ReportFull Report,35.5,35.41,27.26,56.5,29.48,23.15,56.02,19.36,15.38,55.74,0.0,0.0,-,1.69,1.28,56.83,14.27,13.39,51.59,3.33,5.22,38.95,2.19,2.6,45.63,0.0,0.0,-,0.00,100.00,11.05,8.1,57.71,8.5,4.72,64.31,0.0,0.0,-,0.00,100.00,19.82,11.43,63.43,8.66,7.91,52.26,0.0,0.0,-,0.00,100.00,0.0,100.0,1.0,18680
10,"2009-10-02 - Rangers 2, Penguins 3",New York Rangers,Limited ReportFull Report,47.35,48.3,53.88,47.27,29.27,37.37,43.92,17.61,26.39,40.02,2.03,1.93,51.18,1.22,2.33,34.44,19.07,28.68,39.93,7.1,14.61,32.71,5.06,10.86,31.80,1.01,1.93,34.34,19.94,82.22,11.8,14.19,45.4,5.01,6.96,41.85,1.02,0.0,100.00,20.42,100.00,26.61,20.26,56.77,7.49,8.36,47.25,0.0,0.0,-,0.00,100.00,11.51,92.68,1.042,17132
11,"2009-10-02 - Rangers 2, Penguins 3",Pittsburgh Penguins,Limited ReportFull Report,47.35,53.88,48.3,52.73,37.37,29.27,56.08,26.39,17.61,59.98,1.93,2.03,48.82,2.33,1.22,65.56,28.68,19.07,60.07,14.61,7.1,67.29,10.86,5.06,68.20,1.93,1.01,65.66,17.78,80.06,14.19,11.8,54.6,6.96,5.01,58.15,0.0,1.02,0.00,0.00,79.58,20.26,26.61,43.23,8.36,7.49,52.75,0.0,0.0,-,0.00,100.00,7.32,88.49,0.958,17132
12,"2009-10-02 - Panthers 4, Blackhawks 3",Chicago Blackhawks,Limited ReportFull Report,49.73333333333299,71.62,40.43,63.92,52.44,25.33,67.43,40.54,16.13,71.53,2.83,2.02,58.32,3.41,1.44,70.25,32.88,23.85,57.96,21.0,9.59,68.66,18.29,5.27,77.63,2.82,0.0,100.00,15.44,100.00,11.76,14.19,45.32,2.91,5.04,36.63,0.0,2.12,0.00,0.00,58.01,34.16,15.0,69.49,19.28,5.99,76.29,0.0,0.0,-,0.00,100.00,6.98,87.46,0.9440000000000001,12056
