,Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
0,"2008-10-04 - Rangers 2, Lightning 1",New York Rangers,Limited ReportFull Report,38.05,47.27,23.99,66.33,36.66,19.23,65.6,29.24,10.63,73.34,1.06,0.92,53.35,1.64,1.23,57.19,25.67,16.96,60.22,6.55,10.23,39.02,4.33,6.56,39.78,0.0,0.92,0.00,0.00,86.01,19.12,6.59,74.37,12.52,1.94,86.56,1.05,0.0,100.00,8.41,100.00,19.62,6.83,74.18,12.25,1.97,86.14,0.0,0.0,-,0.00,100.00,3.61,91.31,0.9490000000000001,17085
1,"2008-10-04 - Rangers 2, Lightning 1",Tampa Bay Lightning,Limited ReportFull Report,38.05,23.99,47.27,33.67,19.23,36.66,34.4,10.63,29.24,26.66,0.92,1.06,46.65,1.23,1.64,42.81,16.96,25.67,39.78,10.23,6.55,60.98,6.56,4.33,60.22,0.92,0.0,100.00,13.99,100.00,6.59,19.12,25.63,1.94,12.52,13.44,0.0,1.05,0.00,0.00,91.59,6.83,19.62,25.82,1.97,12.25,13.86,0.0,0.0,-,0.00,100.00,8.69,96.39,1.051,17085
2,"2008-10-04 - Penguins 4, Senators 3",Ottawa Senators,Limited ReportFull Report,37.7,31.42,39.81,44.11,26.77,27.24,49.57,21.12,17.8,54.27,0.92,2.07,30.88,1.08,0.98,52.37,13.21,19.16,40.80,5.5,2.18,71.61,5.56,2.17,71.94,0.92,0.0,100.00,16.52,100.00,7.7,16.91,31.28,5.81,6.27,48.08,0.0,2.11,0.00,0.00,66.37,16.17,18.68,46.40,8.7,9.3,48.34,0.0,0.0,-,0.00,100.00,4.37,88.38,0.9279999999999999,13699
3,"2008-10-04 - Penguins 4, Senators 3",Pittsburgh Penguins,Limited ReportFull Report,37.7,39.81,31.42,55.89,27.24,26.77,50.43,17.8,21.12,45.73,2.07,0.92,69.12,0.98,1.08,47.63,19.16,13.21,59.20,2.18,5.5,28.39,2.17,5.56,28.06,0.0,0.92,0.00,0.00,83.48,16.91,7.7,68.72,6.27,5.81,51.92,2.11,0.0,100.00,33.63,100.00,18.68,16.17,53.60,9.3,8.7,51.66,0.0,0.0,-,0.00,100.00,11.62,95.63,1.072,13699
4,"2008-10-05 - Lightning 1, Rangers 2",New York Rangers,Limited ReportFull Report,44.55,49.66,31.88,60.91,35.95,22.93,61.05,25.39,12.86,66.38,0.94,1.06,47.18,1.93,1.11,63.47,31.43,13.32,70.24,8.26,8.15,50.34,4.61,5.08,47.57,0.94,1.06,47.08,20.42,79.17,23.33,5.2,81.78,12.67,1.0,92.67,0.0,0.0,-,0.00,100.00,17.76,15.66,53.13,7.98,5.72,58.25,0.0,0.0,-,0.00,100.00,3.72,91.79,0.955,17085
5,"2008-10-05 - Lightning 1, Rangers 2",Tampa Bay Lightning,Limited ReportFull Report,44.55,31.88,49.66,39.09,22.93,35.95,38.95,12.86,25.39,33.62,1.06,0.94,52.82,1.11,1.93,36.53,13.32,31.43,29.76,8.15,8.26,49.66,5.08,4.61,52.43,1.06,0.94,52.92,20.83,79.58,5.2,23.33,18.22,1.0,12.67,7.33,0.0,0.0,-,0.00,100.00,15.66,17.76,46.87,5.72,7.98,41.75,0.0,0.0,-,0.00,100.00,8.21,96.28,1.045,17085
6,"2008-10-05 - Senators 3, Penguins 1",Ottawa Senators,Limited ReportFull Report,40.083333333333,39.75,30.81,56.33,27.81,22.49,55.28,14.84,18.86,44.04,1.05,0.0,100.00,1.04,1.44,41.85,12.97,18.63,41.03,4.38,5.5,44.30,3.24,4.61,41.26,1.07,0.0,100.00,33.05,100.00,8.65,13.1,39.76,3.15,10.47,23.15,0.0,0.0,-,0.00,100.00,23.46,10.19,69.72,7.45,3.77,66.39,0.0,0.0,-,0.00,100.00,7.07,100.0,1.071,13699
7,"2008-10-05 - Senators 3, Penguins 1",Pittsburgh Penguins,Limited ReportFull Report,40.083333333333,30.81,39.75,43.67,22.49,27.81,44.72,18.86,14.84,55.96,0.0,1.05,0.00,1.44,1.04,58.15,18.63,12.97,58.97,5.5,4.38,55.70,4.61,3.24,58.74,0.0,1.07,0.00,0.00,66.95,13.1,8.65,60.24,10.47,3.15,76.85,0.0,0.0,-,0.00,100.00,10.19,23.46,30.28,3.77,7.45,33.61,0.0,0.0,-,0.00,100.00,0.0,92.93,0.929,13699
8,"2008-10-09 - Maple Leafs 3, Red Wings 2",Detroit Red Wings,Limited ReportFull Report,53.283333333333,45.71,41.03,52.69,37.97,31.14,54.95,28.91,26.73,51.95,0.95,2.15,30.65,1.38,2.0,40.82,16.46,29.27,35.99,4.45,8.73,33.78,4.47,7.56,37.19,0.93,2.16,30.04,20.77,71.36,11.93,20.74,36.52,7.57,12.77,37.22,0.0,0.0,-,0.00,100.00,25.86,7.5,77.50,15.08,4.23,78.09,0.0,0.0,-,0.00,100.00,3.29,91.95,0.9520000000000001,20066
9,"2008-10-09 - Maple Leafs 3, Red Wings 2",Toronto Maple Leafs,Limited ReportFull Report,53.283333333333,41.03,45.71,47.31,31.14,37.97,45.05,26.73,28.91,48.05,2.15,0.95,69.35,2.0,1.38,59.18,29.27,16.46,64.01,8.73,4.45,66.22,7.56,4.47,62.81,2.16,0.93,69.96,28.64,79.23,20.74,11.93,63.48,12.77,7.57,62.78,0.0,0.0,-,0.00,100.00,7.5,25.86,22.50,4.23,15.08,21.91,0.0,0.0,-,0.00,100.00,8.05,96.71,1.048,20066
10,"2008-10-09 - Bruins 5, Avalanche 4",Boston Bruins,Limited ReportFull Report,51.05,34.33,51.04,40.22,23.94,35.08,40.56,17.61,29.35,37.49,4.23,2.79,60.22,1.35,2.59,34.27,19.04,27.87,40.59,6.39,14.54,30.53,6.32,14.66,30.14,2.12,2.78,43.25,33.48,81.06,12.66,13.18,49.00,8.27,7.64,51.98,2.1,0.0,100.00,25.43,100.00,11.35,20.35,35.80,3.13,6.82,31.45,0.0,0.0,-,0.00,100.00,24.0,90.49,1.145,18007
11,"2008-10-09 - Bruins 5, Avalanche 4",Colorado Avalanche,Limited ReportFull Report,51.05,51.04,34.33,59.78,35.08,23.94,59.44,29.35,17.61,62.51,2.79,4.23,39.78,2.59,1.35,65.73,27.87,19.04,59.41,14.54,6.39,69.47,14.66,6.32,69.86,2.78,2.12,56.75,18.94,66.52,13.18,12.66,51.00,7.64,8.27,48.02,0.0,2.1,0.00,0.00,74.57,20.35,11.35,64.20,6.82,3.13,68.55,0.0,0.0,-,0.00,100.00,9.51,76.0,0.855,18007
12,"2008-10-09 - Flames 0, Canucks 6",Calgary Flames,Limited ReportFull Report,35.366666666667,32.04,27.68,53.65,23.5,22.18,51.45,14.01,10.61,56.9,0.0,3.91,0.00,1.51,1.41,51.80,15.38,22.6,40.50,7.96,12.01,39.87,5.0,7.07,41.42,0.0,2.9,0.00,0.00,59.06,7.31,10.65,40.68,5.72,3.18,64.27,0.0,1.0,0.00,0.00,68.50,12.73,3.09,80.45,3.37,0.0,100.00,0.0,0.0,-,0.00,-,0.0,63.13,0.631,18630
13,"2008-10-09 - Flames 0, Canucks 6",Vancouver Canucks,Limited ReportFull Report,35.366666666667,27.68,32.04,46.35,22.18,23.5,48.55,10.61,14.01,43.1,3.91,0.0,100.00,1.41,1.51,48.20,22.6,15.38,59.50,12.01,7.96,60.13,7.07,5.0,58.58,2.9,0.0,100.00,40.94,100.00,10.65,7.31,59.32,3.18,5.72,35.73,1.0,0.0,100.00,31.50,100.00,3.09,12.73,19.55,0.0,3.37,0.00,0.0,0.0,-,-,100.00,36.87,100.0,1.369,18630
14,"2008-10-09 - Ducks 1, Sharks 4",Anaheim Ducks,Limited ReportFull Report,44.25,28.96,40.31,41.8,20.66,30.75,40.19,20.71,24.74,45.56,1.0,1.93,34.23,1.11,1.92,36.66,13.59,21.1,39.17,5.9,11.9,33.14,5.81,10.09,36.55,1.02,1.91,34.91,17.60,81.11,7.61,9.16,45.39,5.76,5.97,49.10,0.0,0.0,-,0.00,100.00,12.96,15.52,45.51,8.12,8.52,48.79,0.0,0.0,-,0.00,100.00,4.85,92.2,0.971,17496
15,"2008-10-09 - Ducks 1, Sharks 4",San Jose Sharks,Limited ReportFull Report,44.25,40.31,28.96,58.2,30.75,20.66,59.81,24.74,20.71,54.44,1.93,1.0,65.77,1.92,1.11,63.34,21.1,13.59,60.83,11.9,5.9,66.86,10.09,5.81,63.45,1.91,1.02,65.09,18.89,82.40,9.16,7.61,54.61,5.97,5.76,50.90,0.0,0.0,-,0.00,100.00,15.52,12.96,54.49,8.52,8.12,51.21,0.0,0.0,-,0.00,100.00,7.8,95.15,1.0290000000000001,17496
