,Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
0,"2007-09-29 - Ducks 1, Kings 4",Anaheim Ducks,Limited ReportFull Report,34.7,25.73,11.85,68.46,16.97,9.58,63.92,13.2,6.39,67.37,0.0,0.0,-,1.24,0.35,77.95,14.64,7.22,66.99,5.92,0.0,100.00,3.89,0.0,100.00,0.0,0.0,-,0.00,-,8.59,7.45,53.54,4.95,5.18,48.84,0.0,0.0,-,0.00,100.00,10.77,2.17,83.24,4.37,0.0,100.0,0.0,0.0,-,0.00,-,0.0,100.0,1.0,17300
1,"2007-09-29 - Ducks 1, Kings 4",Los Angeles Kings,Limited ReportFull Report,34.7,11.85,25.73,31.54,9.58,16.97,36.08,6.39,13.2,32.63,0.0,0.0,-,0.35,1.24,22.05,7.22,14.64,33.01,0.0,5.92,0.00,0.0,3.89,0.00,0.0,0.0,-,-,100.00,7.45,8.59,46.46,5.18,4.95,51.16,0.0,0.0,-,0.00,100.00,2.17,10.77,16.76,0.0,4.37,0.0,0.0,0.0,-,-,100.00,0.0,100.0,1.0,17300
2,"2007-09-30 - Kings 1, Ducks 4",Anaheim Ducks,Limited ReportFull Report,48.2,36.12,26.82,57.38,27.92,23.86,53.91,20.27,18.49,52.29,1.98,1.0,66.36,1.59,1.12,58.64,19.81,15.16,56.65,9.16,2.9,75.96,8.27,2.85,74.34,0.96,1.02,48.54,11.67,64.17,10.76,11.84,47.61,5.12,6.7,43.30,1.0,0.0,100.00,19.59,100.00,11.17,11.49,49.3,5.59,8.73,39.04,0.0,0.0,-,0.00,100.00,9.78,94.57,1.043,17300
3,"2007-09-30 - Kings 1, Ducks 4",Los Angeles Kings,Limited ReportFull Report,48.2,26.82,36.12,42.62,23.86,27.92,46.09,18.49,20.27,47.71,1.0,1.98,33.64,1.12,1.59,41.36,15.16,19.81,43.35,2.9,9.16,24.04,2.85,8.27,25.66,1.02,0.96,51.46,35.83,88.33,11.84,10.76,52.39,6.7,5.12,56.70,0.0,1.0,0.00,0.00,80.41,11.49,11.17,50.7,8.73,5.59,60.96,0.0,0.0,-,0.00,100.00,5.43,90.22,0.9570000000000001,17300
4,"2007-10-03 - Canadiens 3, Hurricanes 2",Carolina Hurricanes,Limited ReportFull Report,37.166666666667,43.77,52.49,45.47,31.18,33.09,48.51,21.5,24.68,46.56,0.92,0.0,100.00,2.06,2.24,47.86,24.84,28.31,46.73,11.29,11.82,48.85,6.63,9.6,40.82,0.0,0.0,-,0.00,100.00,13.55,16.43,45.19,4.91,8.2,37.43,0.0,0.0,-,0.00,100.00,14.57,19.44,42.84,9.87,6.08,61.88,0.89,0.0,100.00,9.01,100.00,4.3,100.0,1.043,18680
5,"2007-10-03 - Canadiens 3, Hurricanes 2",Montreal Canadiens,Limited ReportFull Report,37.166666666667,52.49,43.77,54.53,33.09,31.18,51.49,24.68,21.5,53.44,0.0,0.92,0.00,2.24,2.06,52.14,28.31,24.84,53.27,11.82,11.29,51.15,9.6,6.63,59.18,0.0,0.0,-,0.00,100.00,16.43,13.55,54.81,8.2,4.91,62.57,0.0,0.0,-,0.00,100.00,19.44,14.57,57.16,6.08,9.87,38.12,0.0,0.89,0.00,0.00,90.99,0.0,95.7,0.9570000000000001,18680
6,"2007-10-03 - Ducks 2, Red Wings 3",Anaheim Ducks,Limited ReportFull Report,38.983333333333,16.17,36.65,30.62,12.12,32.55,27.13,7.01,21.82,24.31,1.01,0.0,100.00,0.8,1.84,30.35,9.28,21.03,30.61,3.2,7.49,29.91,2.11,5.74,26.86,0.0,0.0,-,0.00,100.00,6.03,13.61,30.71,3.03,6.81,30.83,1.06,0.0,100.00,34.87,100.00,6.05,12.42,32.75,1.94,8.43,18.68,0.0,0.0,-,0.00,100.00,14.43,100.0,1.1440000000000001,17610
7,"2007-10-03 - Ducks 2, Red Wings 3",Detroit Red Wings,Limited ReportFull Report,38.983333333333,36.65,16.17,69.38,32.55,12.12,72.87,21.82,7.01,75.69,0.0,1.01,0.00,1.84,0.8,69.65,21.03,9.28,69.39,7.49,3.2,70.09,5.74,2.11,73.14,0.0,0.0,-,0.00,100.00,13.61,6.03,69.29,6.81,3.03,69.17,0.0,1.06,0.00,0.00,65.13,12.42,6.05,67.25,8.43,1.94,81.32,0.0,0.0,-,0.00,100.00,0.0,85.57,0.856,17610
8,"2007-10-03 - Senators 4, Maple Leafs 3",Ottawa Senators,Limited ReportFull Report,39.083333333333,39.09,42.15,48.11,31.32,30.27,50.85,21.09,19.56,51.88,3.08,2.81,52.28,1.65,1.7,49.25,22.54,27.91,44.67,8.4,8.41,49.95,4.22,3.78,52.70,0.0,0.94,0.00,0.00,75.12,14.02,19.63,41.66,8.07,8.78,47.92,3.17,0.95,76.97,39.24,89.20,14.99,12.7,54.14,7.93,6.91,53.43,0.0,0.89,0.00,0.00,87.13,14.6,85.63,1.002,19476
9,"2007-10-03 - Senators 4, Maple Leafs 3",Toronto Maple Leafs,Limited ReportFull Report,39.083333333333,42.15,39.09,51.89,30.27,31.32,49.15,19.56,21.09,48.12,2.81,3.08,47.72,1.7,1.65,50.75,27.91,22.54,55.33,8.41,8.4,50.05,3.78,4.22,47.30,0.94,0.0,100.00,24.88,100.00,19.63,14.02,58.34,8.78,8.07,52.08,0.95,3.17,23.03,10.80,60.76,12.7,14.99,45.86,6.91,7.93,46.57,0.89,0.0,100.00,12.87,100.00,14.37,85.4,0.998,19476
10,"2007-10-03 - Stars 3, Avalanche 4",Colorado Avalanche,Limited ReportFull Report,50.616666666667,35.2,47.37,42.63,25.51,37.73,40.34,21.46,23.34,47.91,3.91,1.01,79.39,1.6,1.56,50.66,20.03,17.73,53.04,10.88,3.99,73.18,10.01,0.0,100.00,1.98,0.0,100.00,19.78,-,9.19,13.43,40.62,3.94,8.92,30.64,0.98,1.02,48.85,24.80,88.53,12.3,28.15,30.4,6.21,13.02,32.29,0.95,0.0,100.00,15.24,100.00,18.2,95.65,1.139,17487
11,"2007-10-03 - Stars 3, Avalanche 4",Dallas Stars,Limited ReportFull Report,50.616666666667,47.37,35.2,57.37,37.73,25.51,59.66,23.34,21.46,52.09,1.01,3.91,20.61,1.56,1.6,49.34,17.73,20.03,46.96,3.99,10.88,26.82,0.0,10.01,0.00,0.0,1.98,0.00,-,80.22,13.43,9.19,59.38,8.92,3.94,69.36,1.02,0.98,51.15,11.47,75.20,28.15,12.3,69.6,13.02,6.21,67.71,0.0,0.95,0.00,0.00,84.76,4.35,81.8,0.861,17487
